,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Independent University, Bangladesh",,,,,,,,,,,,,,
Tally Sheet For Spring 2020,,,,,,,,,,,,,,
"Undergraduate, Dhaka Campus",,,,,,,,,,,,,,
SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW
SLASS,ANT101,ANT101,4,3,40,39,C4004-S,40,-1,Introduction to Anthropology,2194-MR Mohammad Mahfuzul Islam,13:40,15:10,MW
SLASS,ANT101,ANT101,5,3,40,32,BC8013-S,25,-1,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,17:00,18:30,ST
SLASS,ANT101,ANT101,6,3,40,39,C2004-S,40,-1,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,17:00,18:30,MW
SLASS,ANT101,ANT101,7,3,41,32,BC9014-S,50,-1,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,8:00,9:30,MW
SLASS,ANT101,ANT101,8,3,40,39,BC8012-S,50,-1,Introduction to Anthropology,2444-MS Ibtesum Afrin,11:20,12:50,MW
SLASS,ANT101,ANT101,9,3,40,12,BC8014-S,25,-1,Introduction to Anthropology,2444-MS Ibtesum Afrin,17:00,18:30,ST
SLASS,ANT101,ANT101,10,3,40,35,BC7015-S,50,-1,Introduction to Anthropology,2444-MS Ibtesum Afrin,8:00,9:30,ST
SLASS,ANT103,ANT103,1,3,40,32,BC9015-S,25,-1,Methodology in Anthropology,2326-MR Maidul Alam Chaklader,17:00,18:30,ST
SLASS,ANT211,ANT211,1,3,20,14,C3006-S,20,-1,Politics and Power in Anthropology,2194-MR Mohammad Mahfuzul Islam,15:20,16:50,ST
SLASS,ANT308,ANT308,1,3,20,10,C3002-S,20,-1,"Globalization, Urbanization and Migration",2444-MS Ibtesum Afrin,9:40,11:10,MW
SLASS,ANT311,ANT311,1,3,20,9,C3002-S,20,-1,Gender Issues in Anthropology,2194-MR Mohammad Mahfuzul Islam,15:20,16:50,MW
SLASS,ANT314,ANT314,1,3,20,5,C2007-S,40,-1,Communication and Cultural Politics,2443-MS Tazin Rahman Ananya,9:40,11:10,ST
SLASS,ANT403,ANT403,1,3,20,16,C2007-S,40,-1,Applied Anthropology,2389-DR Ranjan Saha Partha,11:20,12:50,MW
SLASS,ANT418,ANT418,1,3,20,10,C4003-S,20,-1,Contemporary Issues in Anthropology,2326-MR Maidul Alam Chaklader,13:40,15:10,MW
SLASS,ANT499,ANT499,1,6,10,1,BCTBA2-S,50,0,Senior Project/Internship,2194-MR Mohammad Mahfuzul Islam 2326-Maidul AlamChaklader,8:00,9:30,A
SBE,BBA499A,BBA499A,1,6,200,199,BCTBA3-S,50,-1,Internship/ Senior Project,3484-MR Zubayer Zakir Khan,8:00,9:30,F
SBE,BBA499B,BBA499B,1,6,10,0,BCTBA3-S,50,0,Advance Research,3513-PROF Dr. Aminul Karim,9:40,11:10,F
SELS,BCB103,BCB103,1,3,21,21,BC9016-S,25,-1,Introductory Chemistry I Lecture,6042-DR M Kabir Uddin,15:20,16:50,MW
